block,SD,focal_daughters,focal_sons,rival_daughters,rival_sons,copies_of_SD,parent_with_SD,MotherHasSD,FatherHasSD,SD_from_mum,SD_from_dad,mum_genotype,dad_genotype,focal.male.fitness,rival.male.fitness,total,vial
2,SD-Mad,51,44,9,3,1,Father,0,1,No,Yes,wild_type,SD-Mad,95,12,107,126
2,SD-Mad,17,15,1,5,1,Father,0,1,No,Yes,wild_type,SD-Mad,32,6,38,127
2,SD-Mad,94,96,13,6,1,Father,0,1,No,Yes,wild_type,SD-Mad,190,19,209,128
2,SD-Mad,45,48,0,0,1,Father,0,1,No,Yes,wild_type,SD-Mad,93,0,93,129
2,SD-Mad,28,27,23,28,0,Father,0,1,No,No,wild_type,SD-Mad,55,51,106,130
2,SD-Mad,26,30,6,7,0,Father,0,1,No,No,wild_type,SD-Mad,56,13,69,131
2,SD-Mad,34,38,14,15,0,Father,0,1,No,No,wild_type,SD-Mad,72,29,101,132
2,SD-Mad,29,27,8,4,0,Father,0,1,No,No,wild_type,SD-Mad,56,12,68,133
2,SD-Mad,68,60,15,15,0,Father,0,1,No,No,wild_type,SD-Mad,128,30,158,134
2,SD-Mad,14,29,4,4,0,Father,0,1,No,No,wild_type,SD-Mad,43,8,51,135
